name,sptnum_pri,sptnumerr_pri,sptnum_sec,sptnumerr_sec,sptnum_ter,sptnumerr_ter,ref_spt,mass_pri,masserr_pri,mass_sec,masserr_sec,ref_mass,sep_bin,seperr_bin,pa_bin,paerr_bin,offset_ew_bin,offseterr_ew_bin,offset_ns_bin,offseterr_ns_bin,sep_tri,seperr_tri,pa_tri,paerr_tri,epoch_astrometry,ref_astrometry
DENIS-P J144137.2-094558,10.5,,11,,,,2013ApJ...778...36R,,,,,,370,2.8,290.8,0.3,,,,,,,,,2001-05-22,
2MASSW J1449378+235537,10,,13,,,,2013ApJ...778...36R,,,,,,133,,64,,,,,,,,,,2000-12-21,
HD 130948BC,,,,,,,,,,,,,134,5,317,1,,,,,,,,,2001-04-19,
Gl 569B,,,,,,,,,,,,,101,2,48,,,,,,,,,,1999-08-28,2000ApJ...529L..37M
CFBDSIR J145829+101343,,,,,,,,,,,,,108,6,308,2,,,,,,,,,2010-05-22,2011ApJ...740..108L
SIMP J1501530-013506,,,,,,,,,,,,,960,10,331.4,0.1,,,,,,,,,,
SDSS J151114.66+060742.9,,,,,,,,,,,,,108,11,335,4.3,,,,,,,,,2009-08-15,2015AJ....150..163B
2MASS J15200224-4422419,,,,,,,,,,,,,1174,16,152.9,0.7,,,,,,,,,2006-04-08,
SDSS J153417.05+161546.1,,,,,,,,,,,,,110,5,287.6,,,,,,,,,,2005-05-01,
2MASSI J1534498-295227,,,,,,,,,,,,,65,7,1,7,,,,,,,,,2000-08-18,
SCR J1546-5534,8,,11,,,,2024ApJS..271...55K,,,,,,271.5,,12.3,,,,,,,,,,2019-07-16,2022AJ....163..178V
DENIS-P J154747.2-242349,,,,,,,,19.51,3.39,15.51,2.95,2019A&A...627A.167C,174,,16,,,,,,,,,,,
2MASS J15500845+1455180,,,,,,,,,,,,,950,60,14.5,1.3,,,,,,,,,2005-03-10,2009AJ....138.1563B
2MASSI J1553022+153236,,,,,,,,,,,,,349,5,189.9,0.4,,,,,,,,,2003-09-07,
2MASSI J1600054+170832,11.5,,11.5,,,,2013ApJ...778...36R,,,,,,57,2.8,156.2,1.2,,,,,,,,,2001-01-14,
UScoCTIO 109,6,,7.5,,,,2005ApJ...633..452K,,,,,,34,2,302,3,,,,,,,,,,2005ApJ...633..452K
UScoCTIO 66,6,,6,,,,2005ApJ...633..452K,,,,,,70.3,0.5,31.7,0.2,,,,,,,,,,2005ApJ...633..452K
UScoCTIO 55,5.5,,6,,,,2005ApJ...633..452K,,,,,,121.6,0.6,307.7,0.4,,,,,,,,,,2005ApJ...633..452K
[SCH2006] J16091837-20073523,,,,,,,,,,,,,144,2,15.87,0.13,,,,,,,,,,2011ApJ...730...39B
LSR J1610-0040,-8,,-26,,,,2019MNRAS.486.1260Z,0.09,,0.065,,2019MNRAS.486.1260Z,,,,,,,,,,,,,,
HR 6037Bab,,,,,,,,,,,,,60,6,339,3,,,,,,,,,2010-05-10,2013ApJ...776....4N
SIMP J1619275+031350,,,,,,,,,,,,,691,2,71.23,0.23,,,,,,,,,,
Oph J1623-2402,5,3,5.5,3,,,2007ApJ...660.1492C,,,,,,1696,5,218.29,1,,,,,,,,,,
CFHTWIR-Oph 98 AB,,,,,,,,,,,,,1458.04,1.54,318.8,0.1,,,,,,,,,2013-06-17,2020ApJ...905L..14F
2MASS J17072343-0558249,,,,,,,,,,,,,990,140,142,3,,,,,,,,,2004-08-10,
WISEPA J171104.60+350036.8,,,,,,,,,,,,,779.6,1.1,328.4,0.08,,,,,,,,,2012-04-12,2012ApJ...758...57L
2MASSW J1728114+394859,,,,,,,,,,,,,130,,27,,,,,,,,,,2000-08-12,
LSPM J1735+2634,,,,,,,,,,,,,290,10,171.2,2.1,,,,,,,,,,2006MNRAS.368.1917L
2MASSW J1750129+442404,,,,,,,,,,,,,158,5,339.6,0.7,,,,,,,,,2002-04-25,2003ApJ...598.1265S
WISE J180952.53-044812.5,22.5,0.5,18.5,0.5,,,2017MNRAS.468.3499D,,,,,,300,,112,,,,,,,,,,,2017MNRAS.468.3499D
LP 44-334,,,,,,,,,,,,,700,,135,,,,,,,,,,,2017MNRAS.468.3499D
WISEPA J184124.74+700038.0,,,,,,,,,,,,,70,14,82,9,,,,,,,,,2010-07-01,
